143, 12, 2013-10-01, 2014-01-05
218, 10, 2012-05-16, NULL
143, 10, 2009-01-01, 2013-04-27
25, 9, 2019-03-03, 2021-04-27
218, 9, 2021-03-25, 2023-07-09
218, 12, 2012-05-16, 2013-11-02
54, 7, 2014-05-16, NULL
143, 7, 2011-03-01, 2015-06-29
77, 11, Mar 25 2015, 25 Mar 2016
63, 11, Mar 25 2015, 28 Mar 2015
55, 10, 03/25/2014, 04/27/2015
44, 7, 03/25/2014, 03/25/2014
218, 7, 2015-05-16, 2016-02-17
25, 3, 2009-01-03, 2011-06-27
15, 5, 2009-01-03, 2011-06-27
15, 5, 2010-06-22, 2012-08-15
25, 10, 2019-01-23, 2020-03-27
218, 3, 2008-05-16, 2010-06-19
